Date,Team,Pitcher,SO_Projection,Model_Id,OU,Over_Odds,Scale_Over,Under_Odds,Scale_Over,BE_Over,BE_Under,Poisson_Over,Poison_Under,Edge_Over,Edge_Under,OverUnder_Id,Platform,Bet_Amt,Win_Loss,Net,Net_Auto,Secondary
6/17/2022,SF,Carlos Rodon,6.85,1,6.5,-160,-0.625,120,1.2,0.615,0.455,0.528,0.472,-8.768%,1.775%,0,1,0.00,,,,
6/17/2022,PIT,Zach Thompson,3.49,1,3.5,-115,-0.869565217,-115,-0.869565217,0.535,0.535,0.461,0.539,-7.368%,0.391%,0,1,0.00,,,,
6/17/2022,NYY,Jordan Montgomery,3.58,1,4.5,-110,-0.909090909,-120,-0.833333333,0.524,0.545,0.290,0.710,-23.407%,16.480%,1,1,25.00,L,-25.00,-25.00,
6/17/2022,TOR,Ross Stripling,3.37,1,3.5,-120,-0.833333333,-110,-0.909090909,0.545,0.524,0.435,0.565,-11.038%,4.112%,0,1,0.00,,,,
6/17/2022,STL,Adam Wainwright,4.40,1,4.5,105,1.05,-140,-0.714285714,0.488,0.583,0.449,0.551,-3.899%,-3.215%,0,1,0.00,,,,
6/17/2022,BOS,Michael Wacha,4.26,1,3.5,104,1.04,-130,-0.769230769,0.490,0.565,0.616,0.384,12.541%,-18.083%,2,2,10.00,W,10.40,10.40,
6/17/2022,TEX,Jon Gray,5.00,1,5.5,-144,-0.694444444,114,1.14,0.590,0.467,0.384,0.616,-20.612%,14.867%,1,2,10.00,L,-10.00,-10.00,
6/17/2022,DET,Tarik Skubal,5.93,1,6.5,105,1.05,-140,-0.714285714,0.488,0.583,0.382,0.618,-10.535%,3.421%,0,1,0.00,,,,
6/17/2022,CWS,Lucas Giolito,5.16,1,5.5,-118,-0.847457627,-106,-0.943396226,0.541,0.515,0.412,0.588,-12.919%,7.335%,1,2,0.00,,,,
6/17/2022,HOU,Framber Valdez,5.51,1,5.5,-130,-0.769230769,100,1,0.565,0.500,0.473,0.527,-9.242%,2.721%,0,1,0.00,,,,
6/17/2022,SD,MacKenzie Gore,4.78,1,4.5,105,1.05,-140,-0.714285714,0.488,0.583,0.520,0.480,3.229%,-10.343%,0,1,0.00,,,,
6/17/2022,COL,Kyle Freeland,3.15,1,3.5,115,1.15,-155,-0.64516129,0.465,0.608,0.386,0.614,-7.878%,0.582%,0,1,0.00,,,,
6/17/2022,MIN,Devin Smeltzer,3.54,1,3.5,130,1.3,-175,-0.571428571,0.435,0.636,0.472,0.528,3.719%,-10.834%,0,1,0.00,,,,
6/17/2022,ARI,Madison Bumgarner,4.15,1,4.5,120,1.2,-165,-0.606060606,0.455,0.623,0.400,0.600,-5.410%,-2.308%,0,1,0.00,,,,
6/17/2022,CLE,Zach Plesac,3.91,1,3.5,-130,-0.769230769,100,1,0.565,0.500,0.549,0.451,-1.647%,-4.875%,0,1,0.00,,,,
6/17/2022,LAD,Clayton Kershaw,4.08,1,5.5,120,1.2,-154,-0.649350649,0.455,0.606,0.227,0.773,-22.705%,16.621%,1,2,15.40,W,10.00,10.00,
6/17/2022,LAA,Michael Lorenzen,4.28,1,4.5,126,1.26,-160,-0.625,0.442,0.615,0.426,0.574,-1.678%,-4.108%,0,2,0.00,,,,
